id,puzzle,solution,clues,difficulty
854136,..4...6..67....9....3..1....1.....8...2..4..5..9...3.6...9..4..2....8...9..453..7,124879653678325941593641872317596284862134795459287316735912468241768539986453127,24,5.0
2350821,....4.....5.7...3.8.7..9..5.95..1.........5...4.2...8.....3..5......812.26......9,623145897954786231817329465395861742782493516146257983471932658539678124268514379,23,5.0
2932184,....9..8..9...46.31....3....3.4.....7..65....4.....2.6....1..9....7....25....6.7.,643592187895174623172863945936421758721658439458937216267315894314789562589246371,23,5.0
909539,........46.1.78......3...8.19..5.2...7...2......4..5.9......6...2..9....9.41....8,389561724641278935752349186198653247475912863236487519517834692823796451964125378,23,5.0
646676,.7....5.....32..........48..4....75...2.74...3....9....8..4........921.7..3....4.,279486513418325976635917482146238759892574361357169824781643295564892137923751648,22,5.0
647148,..6..1..4.87..52.....38....6.4..8.3....7.2......6...12.1....3......9..76......9..,396271584187465293542389167624918735831752649975634812719546328258193476463827951,24,5.0
650503,..59.8.........3.7.2...4.5...9..57.6...7.32.5.......9.......1...1..4..7.9..6....8,135978624496152387728364951349285716861793245572416893284537169613849572957621438,24,5.0
651190,...5..4....6..71...73..9..52...7.......2...6..3...89..1.....5.7..4.....6...9.6...,918562473526347189473189625291675348845293761637418952169824537384751296752936814,23,5.0
2668418,.8.2....5.4..56...2..4...1.8..7..2..1....9....6...29..6.9....7........4....387...,987213465341956728256478319894765231172839654563142987619524873738691542425387196,24,5.0
658177,..8.69.2.9..1..7.......795...2793....................18....1....43...21..6.34....,478569123935124768216837954182793645357416892694285371829651437543978216761342589,24,5.0
661295,.74.....1.....96..3.......2..973......3.8.1.92......8.42..6.5...31..5.2.......81.,874623951512479638396158742189734265643582179257916384428361597731895426965247813,26,5.0
1115569,61...8........521..352..........1.7.......5.9.97536.....3....921.8...45....8.....,612378945789645213435219786256491378341782569897536124573164892168923457924857631,26,5.0
662879,..3...6.1..51....3..46..28..1...94...6..4.......2....8...4817.6....9....7....6...,823954671675128943194673285518369427267845319439217568952481736386792154741536892,25,5.0
665414,.5..6.......3..4.2.3...281...1...5...67.8.23...3...........1..89.6....7....94.6..,258164397619378452734592816421736589567489231893215764372651948946823175185947623,25,5.0
2339684,......6..4.895..3...5.83....1..7...65.6...9........4......3...4.....279..2...4...,193247658468951237275683149312479586546128973789365412951736824634812795827594361,23,5.0
2098262,....518...1.....64........137.6..5....89.3..2..2........5.6.7........4262.37.....,926451837517389264834276951371628549458913672692547318145862793789135426263794185,25,5.0
2713947,9.7.....6...7..4.......8..38...46..1...1...8......59....5.7...9.7.3.95....4.51.3.,937412856568793412421568793852946371649137285713285964385674129176329548294851637,26,5.0
678552,.53...97...4..5....6.3.95...4..98.5....7.....7.6....8....2..8.......1..7..98.36..,853426971924175368167389524341698752582734196796512483415267839638951247279843615,26,5.0
2224628,93..6.....8.9..2....48.2.537...9...5..52..79..2...6...3.....5.1...6...8..........,932465817581937246674812953743198625165243798829576134398724561417659382256381479,25,5.0
2467108,48.3....6.7..1....9......5.....3..15.9.5.83......7..4.3........528...........62.8,485327196672915483931684752267439815194568327853271649316892574528743961749156238,24,5.0
682414,....689.3.......1.3...4..8.1..2....9.8...1.67.5............7..8.67..5...89......1,574168923628739415319542786146273859983451267752986134231697548467815392895324671,24,5.0
1805327,..3.1.4..59..2..1.......2....16..34...2...6.7.7...4....5.7...8...........29.8..7.,263817459598423716714569238981672345432158697675934821356741982847295163129386574,24,5.0
688545,...2....6..7..534..8..37.9.1.........39...56.5.8.........9...7...3..26...7.41.8..,395241786617895342482637195124568937739124568568379421841956273953782614276413859,26,5.0
2637426,5......8997..2.4...4.7........94..5...2..5..6...1.2..41..4....2..........9..3...5,523614789971528463846793521317946258482375916659182374135467892264859137798231645,24,5.0
689060,...4..956...89...351.......3.2....6.6...7...1.....9.3.....1.8.2...5.8..........9.,837421956246895173519736428352184769694372581178659234765913842923548617481267395,23,5.0
1956503,....2...7..86...........41..7..8....8..94.7....9.1.8..34....6.......5.......92.5.,436129587718654239592738416174283965853946721269517843345871692921465378687392154,22,5.0
691324,....6.7....17...4....28.6..4.2....35.951......3...5.....8.....22....3..7.4.9.....,854361729621759843973284651482697135795138264136425978318576492269843517547912386,24,5.0
856018,9...6..2..6..3.5..25......85....4......2753........9..8.....7..1..4....2..7.....9,934568127768132594251749638586394271419275386372681945845926713193457862627813459,23,5.0
1215459,..3.2.....513...8..4...1......6.8.2.2...4.1.9..4....5..2.8.....5.89..7..3....6...,893425617751369284642781395175698423286543179934172856429837561568914732317256948,25,5.0
696437,..8......7.......5...341.....2....9..4.61..5.61...7.4...1..4.3..8..23..7......2..,198765423734982165265341879572438691843619752619257348921874536486523917357196284,24,5.0
697480,9......3...7.......18.23.......149...4.2.9.5.6...7....8.....6........129...1.2.8.,956487231237651498418923576785314962143269857692578314821795643574836129369142785,24,5.0
699657,.2...93......1...8......2...3.6...7..8...1..65...7..93.....5...46......531..4....,624589317753412968198736254931654872287391546546278193872965431469123785315847629,23,5.0
2730325,43..2...5..65.......9...2........87.....1...66.8..5..1....3....81.9......24..6.18,431629785286573149759481263195364872342817596678295431567138924813942657924756318,25,5.0
700241,1.6..8.....83..2.......5.1....5..34....8...7..3..71...4.3..7.8..8....4...216..73.,176248953548319267392765814817526349254893671639471528463957182785132496921684735,27,5.0
2512712,..473....61...9.2.........3..9.75..1...9...5..7...1.4....3..2....7.8...........94,284736915613459827795128463439275681861943752572861349156394278947582136328617594,23,5.0
2073932,..1.3.69...5.....79..86.2..3..17.....7..4.9....6.....4.....31...9.6....26....87..,481237695265914837937865241349176528578342916126589374854723169793651482612498753,26,5.0
707460,.13..97..2.4.5....5..1....4.....82.7.8..2...5...4..8........69.3...76.....9.....1,813249756294657138567183924145398267986721345732465819478512693351976482629834571,25,5.0
953674,..7..31....3.9...2....5.34.7..8.....2.....56..6.5....718....2.5.3.2.74...........,897423156453691782621758349745862913218379564369514827184936275536287491972145638,25,5.0
2116193,........8941......8...4..6.4..6..1...36.1..8.5...34..9.....15....2.8..3.........7,763152498941863275825947361497628153236519784518734629689371542172485936354296817,24,5.0
1665618,..4..1...3.6.89..5......3.1....95..2.8.2.41..9.......46.1...57...9.......3...6..8,254631789316789245798452361147895632583264197962317854621948573879523416435176928,26,5.0
1729060,..1.39...6.87...9.........75...6...2.6..9..349..3.5...3...4..5....5...68.......1.,751239846628714395439658127513467982867192534942385671376841259194523768285976413,25,5.0
1688396,..93..4...5.....9...4..95.8.1......9....35.4..7.......98.6...7.26....1......23...,829356417756184392134279568315467829692835741478912653983641275267598134541723986,24,5.0
711792,..1.5.7.929.1.8...5........1.2.6.5...7..1.64...3...2.........5.........8.5.73....,841253769296178435537946812182364597975812643463597281729481356314625978658739124,24,5.0
2150998,.....1.5.3.7.......6.9....2..1...3.9...28.1..2.......6.1....2......4...18..7.5...,928371654357426918164958732781564329635289147249137586416893275573642891892715463,22,5.0
1643829,.....3....5..69.7..6.8...1.5....8.27....4...3...7..89.4.8...6..2..........32.7...,829173546351469278764825319536918427987542163142736895478391652295684731613257984,24,5.0
2994278,....5...2..5..2.7..7..4.9..7.....69.83....7....2..53.4...468...6.1.......2.......,316759842945832176278146953754283691839614725162975384593468217681527439427391568,24,5.0
712642,8.5.6...7..18.....37....8.........59...6..4..4....56.8.6..4..15....7.2....9..2...,825164937691837542374259861786423159952681473413795628267948315138576294549312786,25,5.0
2513813,...7...1.16...........847..49..1..6..7...98...18...3......5.2..35..4.........7.3.,845726913167593482239184756493218567572639841618475329786351294351942678924867135,24,5.0
2010628,.....8..67.3.....4....5.87.1.54.......613.....4........9.8...4.....413...1.....92,954718236783296154621354879135427968876139425249685713397862541562941387418573692,24,5.0
2421636,.....4..2...3..7..9..5.64...1..3.......2..1..6....5.988......7..6..5..2..79.8..5.,753814962146329785982576413218937546594268137637145298825691374461753829379482651,25,5.0
1376039,..8....4..2.7....3..5.....9....2.....41.9.7..9.2..3..41.7.3...6......91....5.8...,718369245429785163365241879836427591541896732972153684187932456253674918694518327,24,5.0
719307,...4..19.......843..8.5..6......6..973.9...8.4..2.1...1.....3..5.3.......7..2....,267438195951762843348159762812376459736945281495281637184597326523614978679823514,24,5.0
919449,2.7......4..6.3.2...5...6.....8...3......1..9...52.4.....45...3.94..8.1.7......8.,267985341419673825385214697542897136876341259931526478128459763694738512753162984,24,5.0
1603007,.4..3.5...53.....8...6.7..1..9.4....8..1.3....1.8...6.........7.3...4.5...291....,147238596653491728298657341769542183825163479314879265486325917931784652572916834,24,5.0
1007303,.....26..2.476....1......5.......3.....9....84...2..7.9......4.63..7892....3.....,853142697294765831176839254769584312325917468418623579987256143631478925542391786,23,5.0
723529,..8.1...7.....7.9.9..5..3..4....6.....97....6..7.49.28.46..5.7...319.............,568913247321467895974528361435286719289751436617349528146835972753192684892674153,25,5.0
1186429,87..5.....2183.6...........6....5....8.72.9....7...13.1..9..84..9...3.....2.8...9,873256491921834675546179283619345728384721956257698134135962847798413562462587319,26,5.0
724497,.....64.15......3..4......9..1..98..2..7..1.5....1296.9.5........8..4.....6.7.2..,382596471519847632647231589761459823293768145854312967925683714178924356436175298,25,5.0
728152,...4....6.5..97.3..9...1.....8...3245.....1...32.1....92...5.............1.28.6.7,781423956254697831693851742178569324569342178432718569926175483847936215315284697,25,5.0
2627038,8...91.....2.3.95.....6...4.....7...674.8.3.....1...6...8....49.5..186...2......3,847591236162734958593862714231647895674985321985123467318276549459318672726459183,26,5.0
728393,9....2..6...8...4...2.16..3..61....7..3..9....5..6.1....8921.3.4..7..........8.7.,984352716631897542572416983296184357143579628857263194768921435429735861315648279,26,5.0
2221236,.16.....794.5..2.6.........5....192......2..43..7..8..8..2...39......4...9..6....,216938547943517286758624391567481923189352764324796815871245639632179458495863172,24,5.0
2306898,......5....9...1.4....3...2....249...8...3.6...71....5.9...6...7...1..2.6....83..,413692587269587134875431692156824973984753261327169845592346718738915426641278359,23,5.0
2169850,3...2...1...3...4......7..25..1....8.1265.3...6.......69.2........8...7...5..9.6.,354926781729381546186547932537194628412658397968732415691273854243865179875419263,24,5.0
1715386,6.........59...4........1.82...5...9...7..3...8..9..123..6.2....1.....435....97..,631845297859271436427963158243156879195728364786394512374612985912587643568439721,24,5.0
1424042,2......63.4....5.....8..7....4.8.1...5...9....9.1...72..791......3.2...4...3..6..,278541963941763528365892741734286159152479386896135472687914235513627894429358617,24,5.0
733535,...7.89...8.1.9....1.65...31.58....429.......8.....6.........3.46.2...5...9..4...,542738916683149527917652843135896274296417385874325691758961432461283759329574168,25,5.0
887967,.9....4.1.4.765..2..7.9........19.6....5...173.....8....6.2..8.......1...7.....29,695238471148765932237491658724819365869543217351672894516924783982357146473186529,25,5.0
2164163,...9..2.8..7.4...5..3.5..6..1........5.....46...6.27..53..96.....47.............9,145963278967248315823157964316574892752389146489612753531896427294735681678421539,23,5.0
1426923,......1...6.....5..97...6.2...47..9.8.39....67.....5...2...1...3..6.4..5..4.8....,432569187168327954597148632256473891813952746749816523925731468381694275674285319,24,5.0
2634033,....1..3.3.7......85....49......4..6..28.....1..5..3..6..1.9.....8.....9.9.....52,924618537317945268856372491573294816462831975189567324645129783238756149791483652,23,5.0
2297128,.42......5......9..3.6.9...2...61..7...57.....8.9...6.8...3.57.6.....1...1...8.3.,942785613576314892138629745294861357361572489785943261829136574653497128417258936,25,5.0
1529988,4..61.3....1...6..53.....91...4.9...7.42......2...5.8.6.8.9.....53....2..4.......,492617358871953642536824791185479263764238915329165487618392574953741826247586139,25,5.0
1783967,85.6...23.1..9..6.........8....258...6....3.......4..1.....76....52...8.4.7.....5,859641723312798564746532198973125846164879352528364971281457639695213487437986215,24,5.0
