id,puzzle,solution,clues,difficulty
1410611,....7.6..3..4......8629...463...2...24...7.95...1..2......8.461..5..49.....6.....,914378652372456819586291734639542178241867395857139246723985461165724983498613527,27,2.3
325243,...3..8..1....6....45.29.3.75...8.........34.....6...1..........9..5..2.6..93...7,976345812132786495845129736753418269261597348489263571514672983397851624628934157,23,2.3
2524734,....9.6..61..42.35.....5.1..9.....2.....6.7..5..4.....2..5.6..3759..3...........1,325891647618742935974635218497358126183269754562417389241576893759183462836924571,25,2.3
1720678,..5413....19.7.56........4895..3..8...8...6.7.....1...7.3.......2..4.....9...28..,685413792419278563372596148954637281138924657267851439743185926826749315591362874,26,2.3
2960278,.81..3.45......6.....2...1...........4..71...95......68...3....1.9.648...24.8...3,781693245492815637365247918217956384648371529953428176876532491139764852524189763,25,2.3
188910,591.........516...6....4.......81.72....2..4..5.....8...8...7.4.23.........7.81..,591273468284516397637894215346981572879325641152467983918652734723149856465738129,24,2.3
1612954,.....1...2.8..7..56..2....8..319..7.5.....8.....3....21.5...2.7.4....35.....4....,357861924298437165614259738423198576571624893986375412165983247842716359739542681,24,2.3
2316947,.....582.4....8..3..9.3.....186.45..56.8....7.........17....6...425...7.8...7....,637915824451268793289437156718624539564893217923751468175349682342586971896172345,26,2.3
2802250,.2.....5....41...9.....8..1.43.2.6.8..5..4......1...3....6.51.4..8..2.7..9.......,421796853857413269936258741743529618165834927289167435372685194518942376694371582,24,2.3
732171,5....3.2.7...4...6..186...7....5.91....9.......3..4...81.7..65...........65.....1,546173829789245136231869547628357914457981362193624785814792653372516498965438271,24,2.3
1425826,6......34....83.2.......9....2.18.5......9....18.2....97..4.216.6.....93.........,627591834149783625385264971492618357736459182518327469973845216864172593251936748,24,2.3
356506,8........2.....7.6.....3..4..84........75..4.3.7.629..6.......7792...3...3...5...,864927531213584796579613284158439672926758143347162958685391427792846315431275869,24,2.3
2403993,.78...2..1......7.4.....1.5....58...2.....657.....79..8.6.9.32...3..4.6.....3..1.,678519243195423876432876195761958432289341657354267981816795324523184769947632518,26,2.3
2709481,....4....79..8.4..5.....2....8..41.....27.8...5...9.278..5...6.9.3.....1.....3...,382145679791682435564937218278354196139276854456819327847521963923768541615493782,24,2.3
2212002,.........673.8..9...59....68...15....24........1.79.3.......25.95.8.76...........,498756123673182594215943786839215467724368915561479832347691258952837641186524379,24,2.3
658505,.9....4..4.....75.1.6..........9...3..381...4.4..2.8..7....41......57....31......,395271486482369751176548239817495623523816974649723815758934162264157398931682547,23,2.3
1668470,....2.6.3.7..482....517..4...........61....827.8.14.3.93.......4..7.9.........1..,184925673379648251625173948243856719561397482798214536937561824412789365856432197,26,2.3
2806214,.42..8...7.6..4.....3..1.9.....76..9...34.1.......5.38.7.....52..4.....15...2....,942738516716954823853261794135876249689342175427195638378619452294587361561423987,25,2.3
383708,..2.6..5.53...182...49....1..........4..2.....9..183.7.......6..7....4...8...9...,712863954539471826864952731357694218148327695296518347423785169975136482681249573,23,2.3
225074,..3...1...4..7....75.38......6.24.9.4.......3.98..6...62...5........8.......1..25,863459172149672538752381946376524891415897263298136754621945387537268419984713625,24,2.3
285964,.2.4..816.51.7...2....3...7........3..6..4.8..3..29.6.8..7.2....17.5..........5..,723495816951678432648231957289567143576314289134829765865742391417953628392186574,26,2.3
2188315,.47..2.8.9...6...2...9.4...52....3.7...4.......1..3.2..8.15.....5....9..19...8..4,647532189915867432832914576529681347378425691461793825284159763753246918196378254,26,2.3
1563825,8..4.......3....17..2...6.......4.7..4..58....657...9..76.....51....7..6.3...9.4.,857416329693285417412973658281694573749358261365721894976842135124537986538169742,25,2.3
2988387,8.64....2.....38....2....9.46.........894.2.5...7....952.63...77.....6.......5..4,856491372917523846342867591469352718178946235235718469524639187791284653683175924,26,2.3
2006269,..58.9..7..4.2...1...6...4.8.2.......31..7..97........3....1.5...7.3..245......1.,215849367684723591973615248862394175431257689759168432328471956197536824546982713,25,2.3
1812288,9...5.3....16..8.4...1....9...4.5....5...7.288.....9.....916...2......4..6.......,984752361521639874673148259392485617156397428847261935435916782219873546768524193,23,2.3
97366,.1..2....4.....58......463..3..6..9..28......9.15..........8.....2.4.9...6....75.,316825479497136582285794631534261897628479315971583246749658123152347968863912754,23,2.3
174813,...198..5............25.381....2.6..24...75..1.......36.15...42.9.8....7.5.......,423198765518673294769254381935421678246387519187965423671539842392846157854712936,26,2.3
